Time_s,Position_deg,Velocity_degs,Target_deg,Direction,Trigger
4.9287749,-167.943,-16.232,0,1,0
4.930565,-167.933,-14.117,0,1,0
4.9320017,-167.925,-12.278,0,1,0
4.9347596,-167.918,-10.677,0,1,0
4.9362116,-167.912,-9.287,0,1,0
4.9476843,-167.907,-8.076,0,1,0
4.9632002,-167.902,-7.024,0,1,0
4.9783865,-167.898,-6.107,0,1,0
5.0362891,-167.894,-5.312,0,1,0
5.0387918,-167.891,-4.62,0,1,0
5.0412696,-167.889,-4.018,0,1,0
5.0430329,-167.886,-3.494,0,1,0
5.0549466,-167.884,-3.039,0,1,0
5.0699993,-167.883,-2.642,0,1,0
5.1344447,-167.881,-2.298,0,1,0
5.1364838,-167.88,-1.998,0,1,0
5.1371662,-167.879,-1.739,0,1,0
5.1378134,-167.878,-1.511,0,1,0
5.1384963,-167.877,-1.314,0,1,0
5.1487852,-167.876,-1.142,0,1,0
5.1645154,-167.875,-0.997,0,1,0
5.1796198,-167.875,-0.863,0,1,0
5.2372059,-167.874,-0.752,0,1,0
5.2393619,-167.874,-0.654,0,1,0
5.2403915,-167.874,-0.569,0,1,0
5.2413692,-167.873,-0.492,0,1,0
5.243229,-167.873,-0.429,0,1,0
5.2583163,-167.873,-0.373,0,1,0
5.2738662,-167.872,-0.329,0,1,0
5.2892012,-167.872,-0.283,0,1,0
5.354657,-167.872,-0.248,0,1,0
5.3568342,-167.872,-0.214,0,1,0
5.3582271,-167.872,-0.184,0,1,0
5.3593348,-167.872,-0.159,0,1,0
5.3609111,-167.872,-0.141,0,1,0
5.3668017,-167.872,-0.123,0,1,0
5.3823517,-167.872,-0.107,0,1,0
5.3983476,-167.872,-0.088,0,1,0
5.4578086,-167.871,-0.075,0,1,0
5.4599633,-167.871,-0.064,0,1,0
5.4615747,-167.871,-0.058,0,1,0
5.4627366,-167.871,-0.049,0,1,0
5.4752947,-167.871,-0.044,0,1,0
5.4912223,-167.871,-0.037,0,1,0
5.4937206,-167.871,-0.034,0,1,0
5.5059371,-167.871,-0.029,0,1,0
5.5617601,-167.871,-0.023,0,1,0
5.5633643,-167.871,-0.021,0,1,0
5.5640546,-167.871,-0.019,0,1,0
5.5686333,-167.871,-0.016,0,1,0
5.5832737,-167.871,-0.013,0,1,0
5.5992638,-167.871,-0.009,0,1,0
5.6632782,-167.871,-0.007,0,1,0
5.6648798,-179.566,-634.798,0,1,0
5.6656402,-221.149,-594.317,0,1,0
5.6664932,-268.007,-1375.393,0,1,0
5.6673465,-272.409,-453.816,0,1,0
5.6764651,-271.921,-384.632,0,1,0
5.6921624,-271.698,-335.78,0,1,0
5.7078091,-271.506,-292.004,0,1,0
5.7639365,-271.338,-253.944,0,1,0
5.7653213,-271.192,-220.846,0,1,0
5.7664633,-271.066,-192.064,0,1,0
5.7700504,-270.955,-167.033,0,1,0
5.7715147,-270.859,-145.262,0,1,0
5.78544,-270.776,-126.331,0,1,0
5.8014576,-270.704,-109.866,0,1,0
5.8166189,-270.641,-95.547,0,1,0
5.8705348,-270.586,-83.094,0,1,0
5.8722873,-270.538,-72.265,0,1,0
5.8730129,-270.497,-62.847,0,1,0
5.8792003,-270.46,-54.654,0,1,0
5.8935318,-270.429,-47.533,0,1,0
5.908806,-270.402,-41.333,0,1,0
5.9099133,-270.378,-35.949,0,1,0
5.9247346,-316.924,-1290.605,0,1,0
5.9791751,-328.73,-385.646,0,1,0
5.9811723,-328.447,-263.015,0,1,0
5.9828091,-376.531,-1189.985,0,1,0
5.9902305,-379.969,-513.443,0,1,0
6.0034405,-387.659,-605.571,0,1,0
6.0181865,-435.349,-1177.396,0,1,0
6.0812235,-482.936,-2067.822,0,1,0
6.0829598,-505.083,-1320.117,0,1,0
6.08392,-558.356,-1457.517,0,1,0
6.0848614,-580.433,-1321.739,0,1,0
6.0865365,-599.109,-1914.939,0,1,0
6.0968047,-635.813,-1372.056,0,1,0
6.112417,-673.136,-1693.707,0,1,0
6.1278085,-693.16,-1705.357,0,1,0
6.1875891,-701.249,-1033.917,0,1,0
6.1894438,-727.888,-1293.958,0,1,0
6.1909651,-747.574,-1526.579,0,1,0
6.1919458,-756.08,-1067.257,0,1,0
6.1931496,-770.061,-990.882,0,1,0
6.2046485,-808.175,-1842.607,0,1,0
6.220234,-832.912,-1735.009,0,1,0
6.2356574,-867.754,-1374.456,0,1,0
6.2931149,-903.017,-1635.086,0,1,0
6.2951546,-930.956,-2036.937,0,1,0
6.2963589,-950.598,-1266.247,0,1,0
6.2982985,-981.545,-1407.675,0,1,0
6.3124352,-1013.631,-1961.936,0,1,0
6.3280825,-1029.039,-1313.055,0,1,0
6.329335,-1056.478,-1452.454,0,1,0
6.3436888,-1083.299,-1642.803,0,1,0
6.4021104,-1100.191,-1566.852,0,1,0
6.4040659,-1129.397,-1369.749,0,1,0
6.4065381,-1155.59,-1468.188,0,1,0
6.40861,-1177.63,-1670.75,0,1,0
6.4214523,-1197.737,-1326.088,0,1,0
6.4367397,-1225.336,-1399.653,0,1,0
6.5052104,-1246.845,-1541.563,0,1,0
6.5070811,-1260.21,-1200.904,0,1,0
6.508344,-1283.215,-1263.134,0,1,0
6.5107727,-1307.076,-1476.812,0,1,0
6.5118947,-1324.599,-1545.468,0,1,0
6.5141541,-1358.659,-1434.086,0,1,0
6.530276,-1396.968,-1704.461,0,1,0
6.5458085,-1421.822,-1894.316,0,1,0
6.5610188,-1442.973,-1263.815,0,1,0
6.6294666,1477.062,30309.615,0,1,0
6.6311115,1435.082,10773.13,0,1,0
6.6317861,1412.229,10135.804,0,1,0
6.6324519,1363.219,8400.421,0,1,0
6.6333282,1345.485,7354.287,0,1,0
6.6378852,1335.415,6341.024,0,1,0
6.6530645,1327.124,5622.171,0,1,0
6.6690371,1296.734,4339.721,0,1,0
6.6839307,1277.496,3481.341,0,1,0
6.7497373,1260.143,3304.176,0,1,0
6.7512378,1257.268,3009.451,0,1,0
6.7522742,1255.583,2619.165,0,1,0
6.7535169,1254.079,2277.583,0,1,0
6.7545044,1252.772,1980.744,0,1,0
6.7622005,1251.635,1722.588,0,1,0
6.7778761,1250.646,1498.084,0,1,0
6.7931129,1249.786,1302.836,0,1,0
6.8515633,1249.038,1133.03,0,1,0
6.8529512,1248.388,985.36,0,1,0
6.8536705,1247.79,854.806,0,1,0
